ORTHOLOG_GROUP	dict_keys(['Bauco1', 'CANT', 'B0A50', 'Csph', 'Seppo1', 'Elsamp1', 'Polci1', 'Mycgr3', 'Ternu1', 'Zymps1', 'Aciri1_iso', 'Tryvi1', 'Aurpu_var_pul1', 'Clafu1', 'B0A49', 'Glost2', 'BTJ68', 'B0A54', 'B0A48', 'B0A51', 'B0A55'])
ORTHO_00001	4	4	7	10	7	8	3	9	8	11	5	6	11	10	8	5	20	12	14	15	13
ORTHO_00002	3	7	3	7	5	5	5	7	4	6	3	4	7	8	16	5	10	10	9	12	13
ORTHO_00003	2	5	5	5	4	3	4	4	2	5	5	3	3	5	10	3	10	10	10	10	10
ORTHO_00004	4	3	4	5	2	3	3	4	3	4	5	4	4	4	5	4	10	11	12	10	10
ORTHO_00005	3	5	4	4	5	6	4	5	4	6	2	2	15	3	7	6	6	8	6	7	5
ORTHO_00006	4	5	4	5	4	4	5	4	4	4	4	4	4	4	5	5	7	8	9	10	5
ORTHO_00007	1	0	0	9	4	3	6	2	4	2	6	1	2	5	0	7	5	12	13	12	13
ORTHO_00008	4	3	4	4	4	4	4	2	4	4	4	4	4	4	7	4	8	8	8	10	8
ORTHO_00009	4	2	4	4	3	6	4	4	3	4	5	5	4	4	3	4	6	10	8	8	9
ORTHO_00010	4	1	4	7	6	4	7	2	2	2	3	4	10	7	4	7	9	4	6	5	4
ORTHO_00011	3	3	5	5	4	4	6	3	3	4	3	2	5	4	9	5	10	2	9	9	3
ORTHO_00012	4	4	4	4	3	3	4	3	4	4	4	4	4	4	3	4	7	8	8	7	8
ORTHO_00013	4	3	3	6	3	3	3	3	5	3	4	3	3	3	6	3	10	6	7	7	10
ORTHO_00014	3	4	4	3	4	4	5	7	3	5	4	3	3	4	7	5	7	6	6	5	6
ORTHO_00015	4	2	3	3	3	4	4	2	4	3	4	4	3	3	4	4	6	7	8	10	11
ORTHO_00016	5	1	4	1	2	2	4	3	6	3	9	8	2	3	2	2	6	6	9	10	5
ORTHO_00017	4	2	5	6	2	1	4	0	4	1	4	4	2	6	6	2	7	9	6	5	12
ORTHO_00018	0	0	1	6	5	2	5	8	6	8	1	19	5	7	0	13	0	0	2	3	0
ORTHO_00019	3	4	3	2	3	3	3	3	3	3	3	3	3	3	5	3	6	5	9	11	6
ORTHO_00020	4	2	4	3	4	3	4	2	5	2	4	4	3	4	3	4	6	6	5	6	8
ORTHO_00021	3	3	3	3	3	3	3	3	3	3	3	3	3	3	8	3	6	6	6	7	7
ORTHO_00022	3	3	3	3	3	4	3	1	3	3	3	6	4	3	6	3	6	5	6	5	8
ORTHO_00023	3	2	3	4	3	1	3	2	3	4	3	2	4	4	4	3	7	8	7	8	6
ORTHO_00024	3	2	4	5	3	2	5	2	3	3	2	4	4	2	5	5	8	5	6	4	6
ORTHO_00025	4	3	3	4	4	4	3	2	4	3	2	3	3	4	5	3	6	6	5	5	5
ORTHO_00026	2	2	1	3	2	1	1	3	2	4	5	2	3	4	3	3	6	10	6	8	8
ORTHO_00027	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	4	4	6	6	5	10
ORTHO_00028	3	4	3	3	3	3	3	2	3	4	3	4	3	4	3	3	4	5	7	3	8
ORTHO_00029	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	6	6	5	4	7
ORTHO_00030	3	3	3	3	3	3	3	3	2	3	3	3	2	3	5	3	6	6	6	7	5
ORTHO_00031	3	4	3	3	3	3	3	2	3	3	3	4	3	3	5	3	6	6	5	5	5
ORTHO_00032	3	4	3	6	2	4	2	3	2	3	3	2	7	2	4	4	5	3	6	6	3
ORTHO_00033	3	2	3	2	4	3	3	2	3	3	3	3	3	3	2	3	6	5	5	6	10
ORTHO_00034	3	2	3	3	3	3	3	3	3	3	3	3	3	3	4	3	5	6	6	6	6
ORTHO_00035	3	2	3	2	3	3	3	3	3	3	3	3	3	3	4	3	4	6	6	7	6
